new_tests_per_thousand,new_tests_smoothed,total_deaths_per_million,aged_65_older,people_fully_vaccinated,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,human_development_index,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,weekly_hosp_admissions_per_million,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,handwashing_facilities,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.015,280.0,0.0,5.3439999999999985,0.0,0.005,0.0,0.04,2.32,0.7090000000000001,0.14,33.2,0.183,0.0,0.0,0.0,8.429,1.0672089314194575,0.0,0.0,0.0,0.0,2405.0,0.0,33.2,1.033,0.0,62.0,0.0301,43.993,0.0,0.0,38.89,0.0,929.0,0.0,11.0
0.008,338.0,0.0,5.3439999999999985,0.0,0.006,0.0,0.048,2.32,0.7090000000000001,0.131,33.2,0.0,0.0,0.0,0.0,7.857,1.0672089314194575,0.0,0.0,0.0,0.0,2911.0,0.0,43.0,1.033,0.0,62.0,0.0232,43.993,0.0,0.0,38.89,0.0,506.0,0.0,0.0
0.003,346.0,0.0,5.3439999999999985,0.0,0.006,0.0,0.051,2.32,0.7090000000000001,0.245,33.2,0.899,0.0,0.0,0.0,14.714,1.0672089314194575,0.0,0.0,0.0,0.0,3070.0,0.0,23.5,1.932,0.0,116.0,0.0425,43.993,0.0,0.0,55.56,0.0,159.0,0.0,54.0
0.029,569.0,0.0,5.3439999999999985,0.0,0.009000000000000001,0.0,0.08,2.32,0.7090000000000001,0.316,33.2,0.5660000000000001,0.0,0.0,0.0,19.0,2.28,0.0,0.0,0.0,0.0,4832.0,0.0,29.9,2.498,0.0,150.0,0.0334,43.993,0.0,0.0,55.56,0.0,1762.0,0.0,34.0
0.027000000000000003,788.0,0.0,5.3439999999999985,0.0,0.013,0.0,0.107,2.32,0.7090000000000001,0.424,33.2,0.866,0.0,0.0,0.0,25.429,2.32,0.0,0.0,0.0,0.0,6438.0,0.0,31.0,3.364,0.0,202.0,0.0323,43.993,0.0,0.0,55.56,0.0,1606.0,0.0,52.0
0.016,915.0,0.0,5.3439999999999985,0.0,0.015,0.0,0.124,2.32,0.7090000000000001,0.481,33.2,0.633,0.0,0.0,0.0,28.857,2.35,0.0,0.0,0.0,0.0,7425.0,0.0,31.7,3.997,0.0,240.0,0.0315,43.993,0.0,0.0,55.56,0.0,987.0,0.0,38.0
0.031,1120.0,0.0,5.3439999999999985,0.0,0.019,0.0,0.155,2.32,0.7090000000000001,0.531,33.2,0.5660000000000001,0.0,0.0,0.0,31.857,2.42,0.0,0.0,0.0,0.0,9315.0,0.0,35.2,4.563,0.0,274.0,0.0284,43.993,0.0,0.0,55.56,0.0,1890.0,0.0,34.0
0.058,1487.0,0.0,5.3439999999999985,0.0,0.025,0.0,0.213,2.32,0.7090000000000001,0.809,33.2,2.132,0.0,0.0,0.0,48.57100000000001,2.56,0.0,0.0,0.0,0.0,12815.0,0.0,30.6,6.695,0.0,402.0,0.0327,43.993,0.0,0.0,55.56,0.0,3500.0,0.0,128.0
0.045,1803.0,0.0,5.3439999999999985,0.0,0.03,0.0,0.259,2.32,0.7090000000000001,1.171,33.2,2.532,0.0,0.0,0.0,70.286,2.51,0.0,0.0,0.0,0.0,15529.0,0.0,25.7,9.227,0.0,554.0,0.039,43.993,0.0,0.0,55.56,0.0,2714.0,0.0,152.0
0.0,2133.0,0.0,5.3439999999999985,0.0,0.036000000000000004,0.0,0.0,2.32,0.7090000000000001,1.411,33.2,2.582,0.0,0.0,0.0,84.714,2.36,0.0,0.0,0.0,0.0,0.0,0.0,25.2,11.808,0.0,709.0,0.0397,43.993,0.0,0.0,55.56,0.0,0.0,0.0,155.0
0.0,2234.0,0.0,5.3439999999999985,0.0,0.037000000000000005,0.0,0.341,2.32,0.7090000000000001,1.849,33.2,3.631,0.0,0.0,0.0,111.0,2.15,0.0,0.0,0.0,0.0,20471.0,0.0,20.1,15.439,0.0,927.0,0.0497,43.993,0.0,0.0,87.96,0.0,0.0,0.0,218.0
0.134,3157.0,0.017,5.3439999999999985,0.0,0.053,0.0,0.475,2.32,0.7090000000000001,2.303,33.2,4.047,0.0,0.0,0.0,138.286,1.87,0.0,0.0,0.0,0.0,28537.0,0.0,22.8,19.486,0.0,1170.0,0.0438,43.993,0.0,0.0,87.96,1.0,8066.0,0.0,243.0
0.057,3505.0,0.017,5.3439999999999985,0.0,0.058,0.0,0.532,2.32,0.7090000000000001,2.253,33.2,0.28300000000000003,0.0,0.0,0.0,135.286,1.55,0.0,0.0,0.0,0.0,31963.0,0.0,25.9,19.769,0.0,1187.0,0.0386,43.993,1.0,0.0,87.96,1.0,3426.0,0.0,17.0
0.06,3754.0,0.033,5.3439999999999985,0.0,0.063,0.0,0.593,2.32,0.7090000000000001,2.394,33.2,1.5490000000000002,0.0,0.0,0.0,143.714,1.32,0.0,0.0,0.0,0.0,35593.0,0.0,26.1,21.318,0.0,1280.0,0.0383,43.993,0.0,0.0,87.96,2.0,3630.0,0.0,93.0
0.047,3656.0,0.05,5.3439999999999985,0.0,0.061,0.0,0.64,2.32,0.7090000000000001,2.198,33.2,0.7659999999999999,0.0,0.0,0.0,132.0,1.11,0.0,0.0,0.0,0.0,38409.0,0.0,27.7,22.085,0.0,1326.0,0.0361,43.993,1.0,0.0,87.96,3.0,2816.0,0.0,46.0
0.044,3649.0,0.083,5.3439999999999985,0.0,0.061,0.0,0.684,2.32,0.7090000000000001,1.901,33.2,0.45,0.0,0.0,0.0,114.143,0.98,0.0,0.0,0.0,0.0,41072.0,0.0,32.0,22.534,0.0,1353.0,0.0313,43.993,1.0,0.0,87.96,5.0,2663.0,0.0,27.0
0.054000000000000006,3756.0,0.083,5.3439999999999985,0.0,0.063,0.0,0.738,2.32,0.7090000000000001,1.597,33.2,0.45,0.0,0.0,0.0,95.857,0.93,0.0,0.0,0.0,0.0,44292.0,0.0,39.2,22.984,0.0,1380.0,0.0255,43.993,2.0,0.0,87.96,5.0,3220.0,0.0,27.0
0.061,3928.0,0.083,5.3439999999999985,0.0,0.065,0.0,0.799,2.32,0.7090000000000001,1.273,33.2,1.366,0.0,0.0,0.0,76.429,0.92,0.0,0.0,0.0,0.0,47965.0,0.0,51.4,24.35,0.0,1462.0,0.0195,43.993,0.0,0.0,87.96,5.0,3673.0,0.0,82.0
0.04,3118.0,0.15,5.3439999999999985,0.0,0.052000000000000005,0.0,0.8390000000000001,2.32,0.7090000000000001,0.797,33.2,0.716,0.0,0.0,0.0,47.857,0.92,0.0,0.0,0.0,0.0,50361.0,0.0,65.2,25.066,0.0,1505.0,0.0153,43.993,0.0,0.0,87.96,9.0,2396.0,0.0,43.0
0.06,3139.0,0.15,5.3439999999999985,0.0,0.052000000000000005,0.0,0.898,2.32,0.7090000000000001,0.947,33.2,1.332,0.0,0.0,0.0,56.857,0.98,0.0,0.0,0.0,0.0,53937.0,0.0,55.2,26.398000000000003,0.0,1585.0,0.0181,43.993,4.0,0.0,87.96,9.0,3576.0,0.0,80.0
0.049,3040.0,0.183,5.3439999999999985,0.0,0.051,0.0,0.947,2.32,0.7090000000000001,0.892,33.2,1.166,0.0,0.0,0.0,53.57100000000001,0.98,0.0,0.0,0.0,0.0,56873.0,0.0,56.7,27.564,0.0,1655.0,0.0176,43.993,0.0,0.0,87.96,11.0,2936.0,0.0,70.0
