new_tests_per_thousand,new_tests_smoothed,total_boosters,hosp_patients_per_million,total_deaths_per_million,population_density,extreme_poverty,people_fully_vaccinated,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,total_boosters_per_hundred,new_cases_smoothed_per_million,icu_patients_per_million,new_cases_per_million,hosp_patients,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,male_smokers,weekly_hosp_admissions_per_million,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,icu_patients,new_cases
0.001,0.0,0.0,0.0,0.003,35.60800000000001,1.2,0.0,0.0,0.0,0.001,2.77,0.0,0.006999999999999999,0.0,0.021,0.0,0.0,0.0,2.286,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,348.0,0.0,0.0,0.096,78.86,0.0,54225.446,32.0,0.0,1.0,0.0,8.33,1.0,348.0,0.0,0.0,7.0
0.002,0.0,0.0,0.0,0.018000000000000002,35.60800000000001,1.2,0.0,0.0,0.0,0.003,2.77,0.0,0.017,0.0,0.069,0.0,0.0,0.0,5.5710000000000015,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,861.0,0.0,0.0,0.165,78.86,0.0,54225.446,55.0,0.0,0.0,0.0,11.11,6.0,513.0,0.0,0.0,23.0
0.002,0.0,0.0,0.0,0.021,35.60800000000001,1.2,0.0,0.0,0.0,0.004,2.77,0.0,0.025,0.0,0.057,0.0,0.0,0.0,8.286,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,1482.0,0.0,0.0,0.222,78.86,0.0,54225.446,74.0,0.0,5.0,0.0,11.11,7.0,621.0,0.0,0.0,19.0
0.003,0.0,0.0,0.0,0.033,35.60800000000001,1.2,0.0,0.0,0.0,0.006999999999999999,2.77,0.0,0.039,0.0,0.099,0.0,0.0,0.0,13.0,24.6,0.0,1.1205616224648978,0.0,0.0,0.0,0.0,2369.0,0.0,0.0,0.321,78.86,0.0,54225.446,107.0,0.0,1.0,0.0,11.11,11.0,887.0,0.0,0.0,33.0
0.004,0.0,0.0,0.0,0.036000000000000004,35.60800000000001,1.2,0.0,0.0,0.0,0.011,2.77,0.0,0.07200000000000001,0.0,0.231,0.0,0.0,0.0,23.857,24.6,0.0,3.61,0.0,0.0,0.0,0.0,3570.0,0.0,0.0,0.5529999999999999,78.86,0.0,54225.446,184.0,0.0,4.0,0.0,20.37,12.0,1201.0,0.0,0.0,77.0
0.005,0.0,0.0,0.0,0.042,35.60800000000001,1.2,0.0,0.0,0.0,0.015,2.77,0.0,0.094,0.0,0.159,0.0,0.0,0.0,31.429,24.6,0.0,3.55,0.0,0.0,0.0,0.0,5092.0,0.0,0.0,0.7120000000000001,78.86,0.0,54225.446,237.0,0.0,1.0,0.0,20.37,14.0,1522.0,0.0,0.0,53.0
0.005,0.0,0.0,0.0,0.051,35.60800000000001,1.2,0.0,0.0,0.0,0.021,2.77,0.0,0.162,0.0,0.499,0.0,0.0,0.0,54.0,24.6,0.0,3.57,0.0,0.0,0.0,0.0,6863.0,0.0,0.0,1.211,78.86,0.0,54225.446,403.0,0.0,2.0,0.0,20.37,17.0,1771.0,0.0,0.0,166.0
0.005,1165.0,0.0,0.0,0.063,35.60800000000001,1.2,0.0,0.003,0.0,0.026,2.77,0.0,0.209,0.0,0.348,0.0,0.0,0.0,69.571,24.6,0.0,3.46,0.0,0.0,0.0,0.0,8500.0,0.0,16.7,1.5590000000000002,78.86,0.0,54225.446,519.0,0.0597,3.0,0.0,20.37,21.0,1637.0,0.0,0.0,116.0
0.006999999999999999,1434.0,0.0,0.0,0.066,35.60800000000001,1.2,0.0,0.004,0.0,0.033,2.77,0.0,0.231,0.0,0.225,0.0,0.0,0.0,77.0,24.6,0.0,3.33,0.0,0.0,0.0,0.0,10897.0,0.0,18.6,1.784,78.86,0.0,54225.446,594.0,0.0537,4.0,0.0,20.37,22.0,2397.0,0.0,0.0,75.0
0.01,1840.0,0.0,0.0,0.084,35.60800000000001,1.2,0.0,0.006,0.0,0.043,2.77,0.0,0.304,0.0,0.565,0.0,0.0,0.0,101.143,24.6,0.0,3.36,0.0,0.0,0.0,0.0,14363.0,0.0,18.2,2.349,78.86,0.0,54225.446,782.0,0.055,1.0,0.0,20.37,28.0,3466.0,0.0,0.0,188.0
