median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,hosp_patients_per_million,total_deaths_per_million,aged_70_older,population_density,people_fully_vaccinated,new_people_vaccinated_smoothed_per_hundred,new_tests_smoothed_per_thousand,total_tests_per_thousand,human_development_index,total_boosters_per_hundred,new_cases,new_cases_smoothed_per_million,icu_patients_per_million,new_cases_per_million,hosp_patients,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,icu_patients,new_vaccinations_smoothed_per_million
41.4,0.002,0.0,31.0,0.0,0.0,10.797,4.037,0.0,0.0,0.001,0.01,0.929,0.0,2.0,0.023,0.0,0.053,0.0,0.0,0.0,0.857,1.0773974763406935,0.0,0.0,7.37,0.0,369.0,0.0,36.2,0.368,0.0,14.0,0.0276,0.0,2.78,0.0,0.0,77.0,0.0,0.0
41.4,0.0,0.0,39.0,0.0,0.0,10.797,4.037,0.0,0.0,0.001,0.0,0.929,0.0,1.0,0.023,0.0,0.026,0.0,0.0,0.0,0.857,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,45.5,0.394,0.0,15.0,0.022,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,47.0,0.0,0.0,10.797,4.037,0.0,0.0,0.001,0.013,0.929,0.0,6.0,0.045,0.0,0.158,0.0,0.0,0.0,1.714,1.0773974763406935,0.0,0.0,7.37,0.0,510.0,0.0,27.4,0.552,0.0,21.0,0.0365,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.003,0.0,63.0,0.0,0.0,10.797,4.037,0.0,0.0,0.002,0.017,0.929,0.0,5.0,0.064,0.0,0.131,0.0,0.0,0.0,2.4290000000000003,1.0773974763406935,0.0,0.0,7.37,0.0,635.0,0.0,25.9,0.6829999999999999,0.0,26.0,0.0386,0.0,2.78,0.0,0.0,125.0,0.0,0.0
41.4,0.0,0.0,67.0,0.0,0.0,10.797,4.037,0.0,0.0,0.002,0.0,0.929,0.0,6.0,0.083,0.0,0.158,0.0,0.0,0.0,3.143,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,21.3,0.841,0.0,32.0,0.0469,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,72.0,0.0,0.0,10.797,4.037,0.0,0.0,0.002,0.019,0.929,0.0,5.0,0.094,0.0,0.131,0.0,0.0,0.0,3.571,1.0773974763406935,0.0,0.0,7.37,0.0,733.0,0.0,20.2,0.972,0.0,37.0,0.0496,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,89.0,0.0,0.0,10.797,4.037,0.0,0.0,0.002,0.0,0.929,0.0,5.0,0.113,0.0,0.131,0.0,0.0,0.0,4.2860000000000005,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,20.8,1.103,0.0,42.0,0.0482,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.0,0.0,104.0,0.0,0.0,10.797,4.037,0.0,0.0,0.003,0.029,0.929,0.0,4.0,0.12,0.0,0.105,0.0,0.0,0.0,4.5710000000000015,1.0773974763406935,0.0,0.0,7.37,0.0,1099.0,0.0,22.8,1.208,0.0,46.0,0.044,0.0,2.78,0.0,0.0,0.0,0.0,0.0
41.4,0.008,0.0,136.0,0.0,0.0,10.797,4.037,0.0,0.0,0.004,0.037000000000000005,0.929,0.0,14.0,0.16899999999999998,0.0,0.368,0.0,0.0,0.0,6.4289999999999985,1.0773974763406935,0.0,0.0,7.37,0.0,1395.0,0.0,21.2,1.5759999999999998,0.0,60.0,0.0473,0.0,2.78,0.0,0.0,296.0,0.0,0.0
41.4,0.01,0.0,180.0,0.0,0.0,10.797,4.037,0.0,0.0,0.005,0.046,0.929,0.0,4.0,0.161,0.0,0.105,0.0,0.0,0.0,6.143,1.0773974763406935,0.0,0.0,7.37,0.0,1767.0,0.0,29.3,1.681,0.0,64.0,0.0341,0.0,2.78,0.0,0.0,372.0,0.0,0.0
