new_tests_per_thousand,new_tests_smoothed,cardiovasc_death_rate,total_deaths_per_million,aged_65_older,population_density,female_smokers,people_fully_vaccinated,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.001,120.0,79.37,0.048,27.049,347.778,11.2,0.0,0.001,0.0,0.014,0.134,33.7,0.151,0.0,0.0,16.857,1.34,0.0,0.0,0.0,1727.0,0.0,7.1,2.205,84.63,0.0,39002.223,278.0,0.1405,0.0,43.52,0.0,6.0,71.0,0.0,19.0
0.001,135.0,79.37,0.048,27.049,347.778,11.2,0.0,0.001,0.0,0.015,0.142,33.7,0.159,0.0,0.0,17.857,1.43,0.0,0.0,0.0,1880.0,0.0,7.6,2.364,84.63,0.0,39002.223,298.0,0.1323,0.0,43.52,0.0,6.0,153.0,0.0,20.0
0.031,674.0,79.37,0.056,27.049,347.778,11.2,0.0,0.005,0.0,0.046,0.16,33.7,0.278,0.0,0.0,20.143,1.57,0.0,0.0,0.0,5820.0,0.0,33.5,2.642,84.63,0.0,39002.223,333.0,0.0299,0.0,43.52,0.0,7.0,3940.0,0.0,35.0
0.006,752.0,79.37,0.056,27.049,347.778,11.2,0.0,0.006,0.0,0.052000000000000005,0.16699999999999998,33.7,0.254,0.0,0.0,21.0,1.64,0.0,0.0,0.0,6519.0,0.0,35.8,2.8960000000000004,84.63,0.0,39002.223,365.0,0.0279,1.0,43.52,0.0,7.0,699.0,0.0,32.0
0.004,813.0,79.37,0.056,27.049,347.778,11.2,0.0,0.006,0.0,0.056,0.209,33.7,0.436,0.0,0.0,26.286,1.75,0.0,0.0,0.0,7072.0,0.0,30.9,3.332,84.63,0.0,39002.223,420.0,0.0323,0.0,43.52,0.0,7.0,553.0,0.0,55.0
0.001,808.0,79.37,0.056,27.049,347.778,11.2,0.0,0.006,0.0,0.057,0.25,33.7,0.365,0.0,0.0,31.571,1.68,0.0,0.0,0.0,7219.0,0.0,25.6,3.697,84.63,0.0,39002.223,466.0,0.0391,0.0,43.52,0.0,7.0,147.0,0.0,46.0
0.001,810.0,79.37,0.063,27.049,347.778,11.2,0.0,0.006,0.0,0.058,0.272,33.7,0.262,0.0,0.0,34.286,1.59,0.0,0.0,0.0,7329.0,0.0,23.6,3.959,84.63,0.0,39002.223,499.0,0.0423,0.0,43.52,0.0,8.0,110.0,0.0,33.0
0.01,988.0,79.37,0.079,27.049,347.778,11.2,0.0,0.008,0.0,0.069,0.282,33.7,0.222,0.0,0.0,35.571,1.55,0.0,0.0,0.0,8643.0,0.0,27.8,4.181,84.63,0.0,39002.223,527.0,0.036000000000000004,1.0,40.74,0.0,10.0,1314.0,0.0,28.0
0.003,1027.0,79.37,0.103,27.049,347.778,11.2,0.0,0.008,0.0,0.07200000000000001,0.325,33.7,0.46,0.0,0.0,41.0,1.54,0.0,0.0,0.0,9067.0,0.0,25.0,4.641,84.63,0.0,39002.223,585.0,0.0399,2.0,40.74,0.0,13.0,424.0,0.0,58.0
0.001,490.0,79.37,0.119,27.049,347.778,11.2,0.0,0.004,0.0,0.073,0.348,33.7,0.436,0.0,0.0,43.857,1.43,0.0,0.0,0.0,9248.0,0.0,11.2,5.077,84.63,0.0,39002.223,640.0,0.0895,3.0,40.74,0.0,15.0,181.0,0.0,55.0
0.015,655.0,79.37,0.151,27.049,347.778,11.2,0.0,0.005,0.0,0.08800000000000001,0.375,33.7,0.444,0.0,0.0,47.286,1.32,0.0,0.0,0.0,11103.0,0.0,13.9,5.522,84.63,0.0,39002.223,696.0,0.0722,2.0,40.74,0.0,19.0,1855.0,0.0,56.0
0.006999999999999999,699.0,79.37,0.16699999999999998,27.049,347.778,11.2,0.0,0.006,0.0,0.095,0.355,33.7,0.294,0.0,0.0,44.714,1.18,0.0,0.0,0.0,11962.0,0.0,15.6,5.815,84.63,0.0,39002.223,733.0,0.064,4.0,40.74,0.0,21.0,859.0,0.0,37.0
0.001,693.0,79.37,0.175,27.049,347.778,11.2,0.0,0.005,0.0,0.096,0.373,33.7,0.4920000000000001,0.0,0.0,47.0,1.19,0.0,0.0,0.0,12069.0,0.0,14.7,6.307,84.63,0.0,39002.223,795.0,0.0678,2.0,40.74,0.0,22.0,107.0,0.0,62.0
0.0,683.0,79.37,0.19,27.049,347.778,11.2,0.0,0.005,0.0,0.096,0.371,33.7,0.246,0.0,0.0,46.714,1.11,0.0,0.0,0.0,12111.0,0.0,14.6,6.553,84.63,0.0,39002.223,826.0,0.0684,1.0,40.74,0.0,24.0,42.0,0.0,31.0
0.017,793.0,79.37,0.238,27.049,347.778,11.2,0.0,0.006,0.0,0.113,0.358,33.7,0.135,0.0,0.0,45.143,1.07,0.0,0.0,0.0,14194.0,0.0,17.6,6.688,84.63,0.0,39002.223,843.0,0.0569,2.0,40.74,0.0,30.0,2083.0,0.0,17.0
0.002,761.0,79.37,0.238,27.049,347.778,11.2,0.0,0.006,0.0,0.114,0.349,33.7,0.397,0.0,0.0,44.0,1.04,0.0,0.0,0.0,14397.0,0.0,17.3,7.084,84.63,0.0,39002.223,893.0,0.0578,6.0,40.74,0.0,30.0,203.0,0.0,50.0
0.0,985.0,79.37,0.254,27.049,347.778,11.2,0.0,0.008,0.0,0.0,0.326,33.7,0.278,0.0,0.0,41.143,0.99,0.0,0.0,0.0,0.0,0.0,23.9,7.362,84.63,0.0,39002.223,928.0,0.0418,0.0,40.74,0.0,32.0,0.0,0.0,35.0
