new_tests_per_thousand,new_tests_smoothed,total_boosters,cardiovasc_death_rate,total_deaths_per_million,aged_65_older,aged_70_older,extreme_poverty,people_fully_vaccinated,female_smokers,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,hospital_beds_per_thousand,total_boosters_per_hundred,new_cases_smoothed_per_million,male_smokers,new_cases_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_cases_smoothed,reproduction_rate,total_vaccinations,new_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.005,771.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.015,0.0,0.159,12.27,0.0,0.008,40.9,0.019,0.0,0.0,0.429,1.079908256880735,0.0,0.0,6.8,0.0,8171.0,0.0,1797.2,0.585,0.0,35938.374,30.0,0.0006,0.0,31.48,0.0,0.0,252.0,0.0,1.0
0.021,805.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.016,0.0,0.181,12.27,0.0,0.008,40.9,0.019,0.0,0.0,0.429,1.079908256880735,0.0,0.0,6.8,0.0,9265.0,0.0,1876.5,0.604,0.0,35938.374,31.0,0.0005,0.0,31.48,0.0,0.0,1094.0,0.0,1.0
0.022,762.0,0.0,85.99799999999998,0.0,13.914,8.622,0.2,0.0,6.2,0.015,0.0,0.203,12.27,0.0,0.008,40.9,0.0,0.0,0.0,0.429,1.079908256880735,0.0,0.0,6.8,0.0,10411.0,0.0,1776.2,0.604,0.0,35938.374,31.0,0.0006,0.0,31.48,0.0,0.0,1146.0,0.0,0.0
0.034,909.0,0.0,85.99799999999998,0.019,13.914,8.622,0.2,0.0,6.2,0.018000000000000002,0.0,0.237,12.27,0.0,0.212,40.9,1.423,0.0,0.0,10.857,1.079908256880735,0.0,0.0,6.8,0.0,12161.0,0.0,83.7,2.027,0.0,35938.374,104.0,0.0119,0.0,31.48,0.0,1.0,1750.0,0.0,73.0
0.052000000000000005,1137.0,0.0,85.99799999999998,0.039,13.914,8.622,0.2,0.0,6.2,0.022,0.0,0.289,12.27,0.0,0.49,40.9,1.949,0.0,0.0,25.143,5.92,0.0,0.0,6.8,0.0,14816.0,0.0,45.2,3.976,0.0,35938.374,204.0,0.0221,1.0,45.37,0.0,2.0,2655.0,0.0,100.0
0.094,1729.0,0.0,85.99799999999998,0.039,13.914,8.622,0.2,0.0,6.2,0.034,0.0,0.382,12.27,0.0,1.128,40.9,4.463,0.0,0.0,57.857,5.63,0.0,0.0,6.8,0.0,19621.0,0.0,29.9,8.44,0.0,35938.374,433.0,0.0335,1.0,45.37,0.0,2.0,4805.0,0.0,229.0
0.059,2102.0,0.0,85.99799999999998,0.117,13.914,8.622,0.2,0.0,6.2,0.041,0.0,0.441,12.27,0.0,1.595,40.9,3.294,0.0,0.0,81.857,4.48,0.0,0.0,6.8,0.0,22633.0,0.0,25.7,11.734000000000002,0.0,35938.374,602.0,0.0389,0.0,50.0,0.0,6.0,3012.0,0.0,169.0
0.117,2921.0,0.0,85.99799999999998,0.156,13.914,8.622,0.2,0.0,6.2,0.057,0.0,0.5579999999999999,12.27,0.0,2.236,40.9,4.502,0.0,0.0,114.714,3.69,0.0,0.0,6.8,0.0,28615.0,0.0,25.5,16.236,0.0,35938.374,833.0,0.0393,4.0,55.56,0.0,8.0,5982.0,0.0,231.0
0.158,3922.0,0.0,85.99799999999998,0.195,13.914,8.622,0.2,0.0,6.2,0.076,0.0,0.716,12.27,0.0,2.634,40.9,2.807,0.0,0.0,135.143,3.08,0.0,0.0,6.8,0.0,36716.0,0.0,29.0,19.043,0.0,35938.374,977.0,0.0345,2.0,55.56,0.0,10.0,8101.0,0.0,144.0
0.183,5102.0,0.0,85.99799999999998,0.234,13.914,8.622,0.2,0.0,6.2,0.099,0.0,0.899,12.27,0.0,3.425,40.9,5.5360000000000005,0.0,0.0,175.71400000000003,3.07,0.0,0.0,6.8,0.0,46127.0,0.0,29.0,24.578000000000007,0.0,35938.374,1261.0,0.0344,2.0,55.56,0.0,12.0,9411.0,0.0,284.0
0.231,6547.0,0.0,85.99799999999998,0.253,13.914,8.622,0.2,0.0,6.2,0.128,0.0,1.13,12.27,0.0,4.628,40.9,9.843,0.0,0.0,237.429,3.13,0.0,0.0,6.8,0.0,57990.0,0.0,27.6,34.421,0.0,35938.374,1766.0,0.0363,2.0,55.56,0.0,13.0,11863.0,0.0,505.0
0.252,8018.0,0.0,85.99799999999998,0.253,13.914,8.622,0.2,0.0,6.2,0.156,0.0,1.383,12.27,0.0,5.939,40.9,11.129,0.0,0.0,304.714,2.88,0.0,0.0,6.8,0.0,70940.0,0.0,26.3,45.551,0.0,35938.374,2337.0,0.038,1.0,55.56,0.0,13.0,12950.0,0.0,571.0
0.28800000000000003,9439.0,0.0,85.99799999999998,0.312,13.914,8.622,0.2,0.0,6.2,0.184,0.0,1.67,12.27,0.0,7.565,40.9,15.845999999999998,0.0,0.0,388.143,2.57,0.0,0.0,6.8,0.0,85693.0,0.0,24.3,61.397,0.0,35938.374,3150.0,0.0411,0.0,55.56,0.0,16.0,14753.0,0.0,813.0
0.22,10622.0,0.0,85.99799999999998,0.331,13.914,8.622,0.2,0.0,6.2,0.207,0.0,1.89,12.27,0.0,8.726,40.9,11.422,0.0,0.0,447.714,2.35,0.0,0.0,6.8,0.0,96985.0,0.0,23.7,72.819,0.0,35938.374,3736.0,0.0421,3.0,55.56,0.0,17.0,11292.0,0.0,586.0
0.246,11568.0,0.0,85.99799999999998,0.546,13.914,8.622,0.2,0.0,6.2,0.225,0.0,2.136,12.27,0.0,9.751,40.9,11.675,0.0,0.0,500.286,2.1,0.0,0.0,6.8,0.0,109591.0,0.0,23.1,84.494,0.0,35938.374,4335.0,0.0432,1.0,55.56,0.0,28.0,12606.0,0.0,599.0
0.317,12734.0,0.0,85.99799999999998,0.546,13.914,8.622,0.2,0.0,6.2,0.248,0.0,2.4530000000000003,12.27,0.0,11.72,40.9,16.587,0.0,0.0,601.286,1.93,0.0,0.0,6.8,0.0,125851.0,0.0,21.2,101.081,0.0,35938.374,5186.0,0.0472,11.0,55.56,0.0,28.0,16260.0,0.0,851.0
0.212,12940.0,0.0,85.99799999999998,0.682,13.914,8.622,0.2,0.0,6.2,0.252,0.0,2.665,12.27,0.0,12.14,40.9,8.479,0.0,0.0,622.857,1.41,0.0,0.0,6.8,0.0,136707.0,0.0,20.8,109.56,0.0,35938.374,5621.0,0.0481,0.0,55.56,0.0,35.0,10856.0,0.0,435.0
0.192,12650.0,0.0,85.99799999999998,0.682,13.914,8.622,0.2,0.0,6.2,0.247,0.0,2.8560000000000003,12.27,0.0,12.034,40.9,9.102,0.0,0.0,617.429,1.07,0.0,0.0,6.8,0.0,146541.0,0.0,20.5,118.662,0.0,35938.374,6088.0,0.0488,7.0,55.56,0.0,35.0,9834.0,0.0,467.0
0.355,13400.0,0.0,85.99799999999998,0.8190000000000001,13.914,8.622,0.2,0.0,6.2,0.261,0.0,3.2110000000000003,12.27,0.0,11.851,40.9,9.843,0.0,0.0,608.0,0.87,0.0,0.0,6.8,0.0,164740.0,0.0,22.0,128.506,0.0,35938.374,6593.0,0.0454,0.0,55.56,0.0,42.0,18199.0,0.0,505.0
0.262,13214.0,0.0,85.99799999999998,0.858,13.914,8.622,0.2,0.0,6.2,0.258,0.0,3.4730000000000003,12.27,0.0,10.834,40.9,8.732000000000001,0.0,0.0,555.857,0.68,0.0,0.0,6.8,0.0,178189.0,0.0,23.8,137.238,0.0,35938.374,7041.0,0.0421,7.0,55.56,0.0,44.0,13449.0,0.0,448.0
0.201,13076.0,0.0,85.99799999999998,0.975,13.914,8.622,0.2,0.0,6.2,0.255,0.0,3.674,12.27,0.0,9.963,40.9,5.3210000000000015,0.0,0.0,511.143,0.72,0.0,0.0,6.8,0.0,188518.0,0.0,25.6,142.559,0.0,35938.374,7314.0,0.0391,2.0,55.56,0.0,50.0,10329.0,0.0,273.0
0.158,12432.0,0.0,85.99799999999998,1.033,13.914,8.622,0.2,0.0,6.2,0.242,0.0,3.832,12.27,0.0,8.752,40.9,3.197,0.0,0.0,449.0,0.65,0.0,0.0,6.8,0.0,196618.0,0.0,27.7,145.755,0.0,35938.374,7478.0,0.0361,6.0,55.56,0.0,53.0,8100.0,0.0,164.0
0.264,12042.0,0.0,85.99799999999998,1.053,13.914,8.622,0.2,0.0,6.2,0.235,0.0,4.096,12.27,0.0,6.479,40.9,0.682,0.0,0.0,332.4290000000001,0.55,0.0,0.0,6.8,0.0,210144.0,0.0,36.2,146.437,0.0,35938.374,7513.0,0.0276,3.0,55.56,0.0,54.0,13526.0,0.0,35.0
0.239,12241.0,0.0,85.99799999999998,1.169,13.914,8.622,0.2,0.0,6.2,0.239,0.0,4.335,12.27,0.0,5.942,40.9,4.717,0.0,0.0,304.857,0.52,0.0,0.0,6.8,0.0,222395.0,0.0,40.2,151.154,0.0,35938.374,7755.0,0.0249,1.0,55.56,0.0,60.0,12251.0,0.0,242.0
0.0,11430.0,0.0,85.99799999999998,1.286,13.914,8.622,0.2,0.0,6.2,0.223,0.0,0.0,12.27,0.0,4.959,40.9,2.222,0.0,0.0,254.429,0.34,0.0,0.0,6.8,0.0,0.0,0.0,44.9,153.376,0.0,35938.374,7869.0,0.0223,6.0,55.56,0.0,66.0,0.0,0.0,114.0
0.0,9424.0,0.0,85.99799999999998,1.286,13.914,8.622,0.2,0.0,6.2,0.184,0.0,4.497,12.27,0.0,3.859,40.9,2.144,0.0,0.0,198.0,0.26,0.0,0.0,6.8,0.0,230707.0,0.0,47.6,155.52,0.0,35938.374,7979.0,0.021,6.0,55.56,0.0,66.0,0.0,0.0,110.0
0.0,8875.0,0.0,85.99799999999998,1.403,13.914,8.622,0.2,0.0,6.2,0.173,0.0,0.0,12.27,0.0,2.91,40.9,2.086,0.0,0.0,149.286,0.23,0.0,0.0,6.8,0.0,0.0,0.0,59.4,157.606,0.0,35938.374,8086.0,0.0168,0.0,55.56,0.0,72.0,0.0,0.0,107.0
0.0,8772.0,0.0,85.99799999999998,1.462,13.914,8.622,0.2,0.0,6.2,0.171,0.0,0.0,12.27,0.0,2.361,40.9,1.481,0.0,0.0,121.143,0.4,0.0,0.0,6.8,0.0,0.0,0.0,72.4,159.08700000000005,0.0,35938.374,8162.0,0.0138,6.0,55.56,0.0,75.0,0.0,0.0,76.0
0.0,8988.0,0.0,85.99799999999998,1.462,13.914,8.622,0.2,0.0,6.2,0.175,0.0,5.059,12.27,0.0,2.111,40.9,1.442,0.0,0.0,108.286,0.54,0.0,0.0,6.8,0.0,259533.0,0.0,83.0,160.53,0.0,35938.374,8236.0,0.012,3.0,55.56,0.0,75.0,0.0,0.0,74.0
0.0,8560.0,0.0,85.99799999999998,1.579,13.914,8.622,0.2,0.0,6.2,0.16699999999999998,0.0,0.0,12.27,0.0,2.247,40.9,1.6369999999999998,0.0,0.0,115.286,0.59,0.0,0.0,6.8,0.0,0.0,0.0,74.3,162.167,0.0,35938.374,8320.0,0.0135,0.0,55.56,0.0,81.0,0.0,0.0,84.0
