new_tests_per_thousand,new_tests_smoothed,median_age,total_deaths_per_million,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.047,3656.0,27.3,0.05,0.0,0.017,0.061,0.0,0.64,0.006999999999999999,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,38409.0,0.0,0.429,27.7,22.085,64.13,0.0,1326.0,0.0361,1.0,0.0,87.96,3.0,2816.0,0.0,93.0
0.044,3649.0,27.3,0.083,0.0,0.033,0.061,0.0,0.684,0.012,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,41072.0,0.0,0.7140000000000001,32.0,22.534,64.13,0.0,1353.0,0.0313,2.0,0.0,87.96,5.0,2663.0,0.0,46.0
0.054000000000000006,3756.0,27.3,0.083,0.0,0.0,0.063,0.0,0.738,0.012,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,44292.0,0.0,0.7140000000000001,39.2,22.984,64.13,0.0,1380.0,0.0255,0.0,0.0,87.96,5.0,3220.0,0.0,27.0
0.061,3928.0,27.3,0.083,0.0,0.0,0.065,0.0,0.799,0.012,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,47965.0,0.0,0.7140000000000001,51.4,24.35,64.13,0.0,1462.0,0.0195,0.0,0.0,87.96,5.0,3673.0,0.0,27.0
0.04,3118.0,27.3,0.15,0.0,0.067,0.052000000000000005,0.0,0.8390000000000001,0.019,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,50361.0,0.0,1.143,65.2,25.066,64.13,0.0,1505.0,0.0153,4.0,0.0,87.96,9.0,2396.0,0.0,82.0
0.06,3139.0,27.3,0.15,0.0,0.0,0.052000000000000005,0.0,0.898,0.019,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,53937.0,0.0,1.143,55.2,26.398000000000003,64.13,0.0,1585.0,0.0181,0.0,0.0,87.96,9.0,3576.0,0.0,43.0
0.049,3040.0,27.3,0.183,0.0,0.033,0.051,0.0,0.947,0.021,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,56873.0,0.0,1.286,56.7,27.564,64.13,0.0,1655.0,0.0176,2.0,0.0,87.96,11.0,2936.0,0.0,80.0
0.02,2813.0,27.3,0.2,0.0,0.017,0.047,0.0,0.968,0.021,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,58098.0,0.0,1.286,54.7,28.08,64.13,0.0,1686.0,0.0183,1.0,0.0,87.96,12.0,1225.0,0.0,70.0
0.0,2838.0,27.3,0.217,0.0,0.017,0.047,0.0,0.0,0.019,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,1.143,50.2,29.13,64.13,0.0,1749.0,0.0199,1.0,0.0,87.96,13.0,0.0,0.0,31.0
0.0,2783.0,27.3,0.3,0.0,0.083,0.046,0.0,1.062,0.031,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,63776.0,0.0,1.857,41.9,30.728,64.13,0.0,1845.0,0.0239,5.0,0.0,87.96,18.0,0.0,0.0,63.0
0.085,2987.0,27.3,0.3,0.0,0.0,0.05,0.0,1.147,0.031,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,68874.0,0.0,1.857,44.3,32.211,64.13,0.0,1934.0,0.0226,0.0,0.0,87.96,18.0,5098.0,0.0,96.0
0.069,3238.0,27.3,0.4,0.0,0.1,0.054000000000000006,0.0,1.216,0.036000000000000004,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,73028.0,0.0,2.143,45.5,33.36,64.13,0.0,2003.0,0.022,6.0,0.0,87.96,24.0,4154.0,0.0,89.0
0.034,3017.0,27.3,0.416,0.0,0.017,0.05,0.0,1.25,0.038,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,75053.0,0.0,2.286,47.7,33.776,64.13,0.0,2028.0,0.021,1.0,0.0,87.96,25.0,2025.0,0.0,69.0
0.084,3316.0,27.3,0.416,0.0,0.0,0.055,0.0,1.334,0.033,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,80085.0,0.0,2.0,44.8,36.191,64.13,0.0,2173.0,0.0223,0.0,0.0,87.96,25.0,5032.0,0.0,25.0
0.06,3652.0,27.3,0.45,0.0,0.033,0.061,0.0,1.393,0.036000000000000004,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,83663.0,0.0,2.143,43.6,37.84,64.13,0.0,2272.0,0.0229,2.0,0.0,87.96,27.0,3578.0,0.0,145.0
0.056,3726.0,27.3,0.45,0.0,0.0,0.062,0.0,1.449,0.033,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,87022.0,0.0,2.0,39.2,40.222,64.13,0.0,2415.0,0.0255,0.0,0.0,87.96,27.0,3359.0,0.0,99.0
0.058,3820.0,27.3,0.5660000000000001,0.0,0.117,0.064,0.0,1.508,0.038,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,90515.0,0.0,2.286,40.5,41.737,64.13,0.0,2506.0,0.0247,7.0,0.0,87.96,34.0,3493.0,0.0,143.0
0.076,3741.0,27.3,0.799,0.0,0.233,0.062,0.0,1.5830000000000002,0.071,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,95060.0,0.0,4.2860000000000005,39.0,43.386,64.13,0.0,2605.0,0.0256,14.0,0.0,87.96,48.0,4545.0,0.0,91.0
0.096,3971.0,27.3,0.833,0.0,0.033,0.066,0.0,1.679,0.062,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,100827.0,0.0,3.714,35.6,46.351000000000006,64.13,0.0,2783.0,0.0281,2.0,0.0,87.96,50.0,5767.0,0.0,99.0
0.12,4710.0,27.3,0.866,0.0,0.033,0.078,0.0,1.7990000000000002,0.064,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,108021.0,0.0,3.857,32.8,50.53100000000001,64.13,0.0,3034.0,0.0305,2.0,0.0,87.96,52.0,7194.0,0.0,178.0
0.111,4947.0,27.3,0.899,0.0,0.033,0.08199999999999999,0.0,1.911,0.069,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,114711.0,0.0,4.143,35.2,52.597,64.13,0.0,3158.0,0.0284,2.0,0.0,87.96,54.0,6690.0,0.0,251.0
0.113,5407.0,27.3,0.966,0.0,0.067,0.09,0.0,2.024,0.07400000000000001,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,121510.0,0.0,4.4289999999999985,36.8,54.962,64.13,0.0,3300.0,0.0272,4.0,0.0,87.96,58.0,6799.0,0.0,124.0
0.09,5702.0,27.3,0.966,0.0,0.0,0.095,0.0,2.114,0.07400000000000001,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,126937.0,0.0,4.4289999999999985,38.0,57.71,64.13,0.0,3465.0,0.0263,0.0,0.0,87.96,58.0,5427.0,0.0,142.0
0.114,6180.0,27.3,1.083,0.0,0.117,0.103,0.0,2.228,0.07400000000000001,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,133774.0,0.0,4.4289999999999985,38.3,60.541,64.13,0.0,3635.0,0.0261,7.0,0.0,87.96,65.0,6837.0,0.0,165.0
0.163,6930.0,27.3,1.249,0.0,0.16699999999999998,0.115,0.0,2.391,0.064,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,143570.0,0.0,3.857,36.0,65.837,64.13,0.0,3953.0,0.0278,10.0,0.0,87.96,75.0,9796.0,0.0,170.0
0.147,7366.0,27.3,1.3159999999999998,0.0,0.067,0.123,0.0,2.5380000000000003,0.069,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,152390.0,0.0,4.143,35.9,70.28399999999999,64.13,0.0,4220.0,0.0279,4.0,0.0,87.96,79.0,8820.0,0.0,318.0
0.14300000000000002,7569.0,27.3,1.432,0.0,0.117,0.126,0.0,2.682,0.081,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,161004.0,0.0,4.857,39.9,72.632,64.13,0.0,4361.0,0.025,7.0,0.0,87.96,86.0,8614.0,0.0,267.0
0.127,7705.0,27.3,1.449,0.0,0.017,0.128,0.0,2.809,0.079,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,168643.0,0.0,4.714,38.9,75.714,64.13,0.0,4546.0,0.0257,1.0,0.0,87.96,87.0,7639.0,0.0,141.0
0.16399999999999998,8137.0,27.3,1.499,0.0,0.05,0.136,0.0,2.972,0.076,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,178470.0,0.0,4.5710000000000015,38.2,79.827,64.13,0.0,4793.0,0.0262,3.0,0.0,87.96,90.0,9827.0,0.0,185.0
0.117,8366.0,27.3,1.5490000000000002,0.0,0.05,0.139,0.0,3.089,0.083,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,185497.0,0.0,5.0,38.3,83.208,64.13,0.0,4996.0,0.0261,3.0,0.0,87.96,93.0,7027.0,0.0,247.0
0.194,9050.0,27.3,1.715,0.0,0.16699999999999998,0.151,0.0,3.283,0.09,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,197127.0,0.0,5.4289999999999985,36.9,89.104,64.13,0.0,5350.0,0.0271,10.0,0.0,87.96,103.0,11630.0,0.0,203.0
0.173,9137.0,27.3,1.715,0.0,0.0,0.152,0.0,3.4560000000000004,0.067,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,207530.0,0.0,4.0,37.8,94.051,64.13,0.0,5647.0,0.0265,0.0,0.0,87.96,103.0,10403.0,0.0,354.0
0.166,9305.0,27.3,1.932,0.0,0.217,0.155,0.0,3.623,0.08800000000000001,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,217522.0,0.0,5.2860000000000005,37.6,99.114,64.13,0.0,5951.0,0.0266,13.0,0.0,84.26,116.0,9992.0,0.0,297.0
0.219,9955.0,27.3,2.049,0.0,0.117,0.166,0.0,3.842,0.08800000000000001,4.48,0.0,0.0,1.47,269.0,0.0,0.0,0.0,230686.0,0.0,5.2860000000000005,35.3,105.526,64.13,0.0,6336.0,0.0283,7.0,0.0,84.26,123.0,13164.0,0.0,304.0
0.251,11015.0,27.3,2.182,0.0,0.133,0.183,0.0,4.093,0.105,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,245747.0,0.0,6.2860000000000005,34.5,112.971,64.13,0.0,6783.0,0.029,8.0,0.0,84.26,131.0,15061.0,0.0,385.0
0.196,11296.0,27.3,2.298,0.0,0.117,0.188,0.0,4.289,0.114,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,257541.0,0.0,6.857,32.6,120.249,64.13,0.0,7220.0,0.0307,7.0,0.0,84.26,138.0,11794.0,0.0,447.0
0.175,11795.0,27.3,2.465,0.0,0.16699999999999998,0.196,0.0,4.465,0.131,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,268064.0,0.0,7.857,32.1,126.112,64.13,0.0,7572.0,0.0312,10.0,0.0,84.26,148.0,10523.0,0.0,437.0
0.188,11750.0,27.3,2.548,0.0,0.083,0.196,0.0,4.6530000000000005,0.119,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,279379.0,0.0,7.143,33.5,130.042,64.13,0.0,7808.0,0.0299,5.0,0.0,84.26,153.0,11315.0,0.0,352.0
0.213,12089.0,27.3,2.681,0.0,0.133,0.201,0.0,4.8660000000000005,0.138,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,292153.0,0.0,8.286,32.7,137.10399999999998,64.13,0.0,8232.0,0.0305,8.0,0.0,84.26,161.0,12774.0,0.0,236.0
