new_tests_per_thousand,new_tests_smoothed,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,new_cases,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million
0.001,74.0,0.016,27.049,347.778,0.0,0.0,0.001,0.0,0.005,0.001,13.05,10.0,0.0,0.0,1.0337212863705978,0.0,0.0,0.0,650.0,0.0,0.14300000000000002,7.5,0.889,84.63,0.0,39002.223,112.0,0.1332,0.0,25.0,2.0,85.0,0.0,0.0
0.001,76.0,0.016,27.049,347.778,0.0,0.0,0.001,0.0,0.006,0.001,13.05,17.0,0.0,0.0,1.24,0.0,0.0,0.0,746.0,0.0,0.14300000000000002,6.4,1.087,84.63,0.0,39002.223,137.0,0.156,0.0,25.0,2.0,96.0,0.0,0.0
0.0,72.0,0.016,27.049,347.778,0.0,0.0,0.001,0.0,0.006,0.001,13.05,25.0,0.0,0.0,1.15,0.0,0.0,0.0,785.0,0.0,0.14300000000000002,5.7,1.182,84.63,0.0,39002.223,149.0,0.1766,0.0,25.0,2.0,39.0,0.0,0.0
0.001,71.0,0.016,27.049,347.778,0.0,0.0,0.001,0.0,0.006999999999999999,0.001,13.05,12.0,0.0,0.0,1.09,0.0,0.0,0.0,889.0,0.0,0.14300000000000002,5.3,1.269,84.63,0.0,39002.223,160.0,0.1871,0.0,25.0,2.0,104.0,0.0,0.0
0.0,76.0,0.024,27.049,347.778,0.0,0.008,0.001,0.0,0.006999999999999999,0.001,13.05,11.0,0.0,0.0,1.04,0.0,0.0,0.0,933.0,0.0,0.14300000000000002,5.7,1.372,84.63,0.0,39002.223,173.0,0.1767,1.0,34.26,3.0,44.0,0.0,0.0
0.001,89.0,0.024,27.049,347.778,0.0,0.0,0.001,0.0,0.009000000000000001,0.001,13.05,13.0,0.0,0.0,1.05,0.0,0.0,0.0,1101.0,0.0,0.14300000000000002,5.8,1.523,84.63,0.0,39002.223,192.0,0.1718,0.0,34.26,3.0,168.0,0.0,0.0
0.001,98.0,0.032,27.049,347.778,0.0,0.008,0.001,0.0,0.01,0.002,13.05,19.0,0.0,0.0,1.08,0.0,0.0,0.0,1252.0,0.0,0.28600000000000003,5.6,1.729,84.63,0.0,39002.223,218.0,0.1793,1.0,34.26,4.0,151.0,0.0,0.0
0.001,105.0,0.04,27.049,347.778,0.0,0.008,0.001,0.0,0.011,0.003,13.05,26.0,0.0,0.0,1.01,0.0,0.0,0.0,1382.0,0.0,0.429,5.9,1.872,84.63,0.0,39002.223,236.0,0.1687,1.0,34.26,5.0,130.0,0.0,0.0
0.001,116.0,0.048,27.049,347.778,0.0,0.008,0.001,0.0,0.012,0.005,13.05,18.0,0.0,0.0,1.01,0.0,0.0,0.0,1560.0,0.0,0.5710000000000001,7.5,1.944,84.63,0.0,39002.223,245.0,0.133,1.0,34.26,6.0,178.0,0.0,0.0
0.001,124.0,0.048,27.049,347.778,0.0,0.0,0.001,0.0,0.013,0.005,13.05,9.0,0.0,0.0,1.18,0.0,0.0,0.0,1656.0,0.0,0.5710000000000001,7.9,2.055,84.63,0.0,39002.223,259.0,0.1267,0.0,34.26,6.0,96.0,0.0,0.0
0.001,120.0,0.048,27.049,347.778,0.0,0.0,0.001,0.0,0.014,0.005,13.05,14.0,0.0,0.0,1.34,0.0,0.0,0.0,1727.0,0.0,0.5710000000000001,7.1,2.205,84.63,0.0,39002.223,278.0,0.1405,0.0,43.52,6.0,71.0,0.0,0.0
0.001,135.0,0.048,27.049,347.778,0.0,0.0,0.001,0.0,0.015,0.003,13.05,19.0,0.0,0.0,1.43,0.0,0.0,0.0,1880.0,0.0,0.429,7.6,2.364,84.63,0.0,39002.223,298.0,0.1323,0.0,43.52,6.0,153.0,0.0,0.0
