new_tests_per_thousand,new_tests_smoothed,median_age,total_boosters,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,human_development_index,total_boosters_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,life_expectancy,new_people_vaccinated_smoothed,gdp_per_capita,total_cases,positive_rate,new_deaths,stringency_index,new_vaccinations_smoothed_per_million,total_deaths,new_tests,new_vaccinations_smoothed,new_cases
0.475,34542.0,31.6,0.0,19.32,8.152999999999999,104.914,0.0,1.47,0.406,0.0,5.619,1.235,0.82,0.0,0.0,0.0,1.12,0.0,0.0,0.0,477853.0,0.0,105.0,7.6,872.42,77.69,0.0,25129.341,74193.0,0.132,125.0,75.93,0.0,1643.0,40427.0,0.0,4281.0
0.474,35886.0,31.6,0.0,20.801,8.152999999999999,104.914,0.0,1.482,0.422,0.0,6.093,1.2819999999999998,0.82,0.0,0.0,0.0,1.03,0.0,0.0,0.0,518123.0,0.0,109.0,8.0,923.606,77.69,0.0,25129.341,78546.0,0.1255,126.0,75.93,0.0,1769.0,40270.0,0.0,4801.0
0.476,36936.0,31.6,0.0,22.224,8.152999999999999,104.914,0.0,1.423,0.434,0.0,6.569,1.325,0.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,558643.0,0.0,112.714,8.6,968.09,77.69,0.0,25129.341,82329.0,0.1167,121.0,77.78,0.0,1890.0,40520.0,0.0,4353.0
0.416,36882.0,31.6,0.0,23.717,8.152999999999999,104.914,0.0,1.493,0.434,0.0,6.985,1.376,0.82,0.0,0.0,0.0,1.03,0.0,0.0,0.0,593987.0,0.0,117.0,8.8,1014.854,77.69,0.0,25129.341,86306.0,0.1137,127.0,77.78,0.0,2017.0,35344.0,0.0,3783.0
0.467,37632.0,31.6,0.0,25.164,8.152999999999999,104.914,0.0,1.446,0.443,0.0,7.451,1.418,0.82,0.0,0.0,0.0,1.09,0.0,0.0,0.0,633690.0,0.0,120.571,8.8,1069.815,77.69,0.0,25129.341,90980.0,0.1136,123.0,75.93,0.0,2140.0,39703.0,0.0,3977.0
0.464,38540.0,31.6,0.0,26.563,8.152999999999999,104.914,0.0,1.399,0.453,0.0,7.915,1.4380000000000002,0.82,0.0,0.0,0.0,1.04,0.0,0.0,0.0,673119.0,0.0,122.286,8.9,1124.035,77.69,0.0,25129.341,95591.0,0.113,119.0,75.93,0.0,2259.0,39429.0,0.0,4674.0
0.441,39033.0,31.6,0.0,27.939,8.152999999999999,104.914,0.0,1.376,0.459,0.0,8.356,1.4409999999999998,0.82,0.0,0.0,0.0,0.91,0.0,0.0,0.0,710654.0,0.0,122.571,9.3,1160.287,77.69,0.0,25129.341,98674.0,0.1072,117.0,75.93,0.0,2376.0,37535.0,0.0,4611.0
0.482,39109.0,31.6,0.0,29.291,8.152999999999999,104.914,0.0,1.352,0.46,0.0,8.838,1.4240000000000002,0.82,0.0,0.0,0.0,0.8,0.0,0.0,0.0,751616.0,0.0,121.143,9.9,1196.928,77.69,0.0,25129.341,101790.0,0.1008,115.0,75.93,0.0,2491.0,40962.0,0.0,3083.0
0.451,38835.0,31.6,0.0,30.573,8.152999999999999,104.914,0.0,1.2819999999999998,0.457,0.0,9.289,1.396,0.82,0.0,0.0,0.0,0.74,0.0,0.0,0.0,789967.0,0.0,118.714,10.3,1233.639,77.69,0.0,25129.341,104912.0,0.097,109.0,75.93,0.0,2600.0,38351.0,0.0,3116.0
0.45,38519.0,31.6,0.0,31.819000000000006,8.152999999999999,104.914,0.0,1.246,0.453,0.0,9.74,1.371,0.82,0.0,0.0,0.0,0.73,0.0,0.0,0.0,828275.0,0.0,116.571,10.6,1267.28,77.69,0.0,25129.341,107773.0,0.0944,106.0,75.93,0.0,2706.0,38308.0,0.0,3122.0
