median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,cardiovasc_death_rate,total_deaths_per_million,aged_70_older,extreme_poverty,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,total_boosters_per_hundred,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,new_cases
43.4,0.021,0.0,805.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.016,0.0,0.181,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,9265.0,0.0,0.0,1876.5,0.604,0.0,31.0,0.0005,0.0,0.0,31.48,0.0,0.0,1094.0,1.0
43.4,0.022,0.0,762.0,85.99799999999998,0.0,8.622,0.2,0.0,0.0,0.015,0.0,0.203,0.0,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,10411.0,0.0,0.0,1776.2,0.604,0.0,31.0,0.0006,0.0,0.0,31.48,0.0,0.0,1146.0,1.0
43.4,0.034,0.0,909.0,85.99799999999998,0.019,8.622,0.2,0.0,0.019,0.018000000000000002,0.0,0.237,0.003,12.27,0.0,40.9,0.0,0.0,1.079908256880735,0.0,0.0,6.8,0.0,12161.0,0.0,0.14300000000000002,83.7,2.027,0.0,104.0,0.0119,1.0,0.0,31.48,1.0,0.0,1750.0,0.0
43.4,0.052000000000000005,0.0,1137.0,85.99799999999998,0.039,8.622,0.2,0.0,0.019,0.022,0.0,0.289,0.006,12.27,0.0,40.9,0.0,0.0,5.92,0.0,0.0,6.8,0.0,14816.0,0.0,0.28600000000000003,45.2,3.976,0.0,204.0,0.0221,1.0,0.0,45.37,2.0,0.0,2655.0,73.0
43.4,0.094,0.0,1729.0,85.99799999999998,0.039,8.622,0.2,0.0,0.0,0.034,0.0,0.382,0.006,12.27,0.0,40.9,0.0,0.0,5.63,0.0,0.0,6.8,0.0,19621.0,0.0,0.28600000000000003,29.9,8.44,0.0,433.0,0.0335,0.0,0.0,45.37,2.0,0.0,4805.0,100.0
43.4,0.059,0.0,2102.0,85.99799999999998,0.117,8.622,0.2,0.0,0.078,0.041,0.0,0.441,0.017,12.27,0.0,40.9,0.0,0.0,4.48,0.0,0.0,6.8,0.0,22633.0,0.0,0.857,25.7,11.734000000000002,0.0,602.0,0.0389,4.0,0.0,50.0,6.0,0.0,3012.0,229.0
43.4,0.117,0.0,2921.0,85.99799999999998,0.156,8.622,0.2,0.0,0.039,0.057,0.0,0.5579999999999999,0.022,12.27,0.0,40.9,0.0,0.0,3.69,0.0,0.0,6.8,0.0,28615.0,0.0,1.143,25.5,16.236,0.0,833.0,0.0393,2.0,0.0,55.56,8.0,0.0,5982.0,169.0
43.4,0.158,0.0,3922.0,85.99799999999998,0.195,8.622,0.2,0.0,0.039,0.076,0.0,0.716,0.028,12.27,0.0,40.9,0.0,0.0,3.08,0.0,0.0,6.8,0.0,36716.0,0.0,1.429,29.0,19.043,0.0,977.0,0.0345,2.0,0.0,55.56,10.0,0.0,8101.0,231.0
43.4,0.183,0.0,5102.0,85.99799999999998,0.234,8.622,0.2,0.0,0.039,0.099,0.0,0.899,0.033,12.27,0.0,40.9,0.0,0.0,3.07,0.0,0.0,6.8,0.0,46127.0,0.0,1.714,29.0,24.578000000000007,0.0,1261.0,0.0344,2.0,0.0,55.56,12.0,0.0,9411.0,144.0
43.4,0.231,0.0,6547.0,85.99799999999998,0.253,8.622,0.2,0.0,0.019,0.128,0.0,1.13,0.033,12.27,0.0,40.9,0.0,0.0,3.13,0.0,0.0,6.8,0.0,57990.0,0.0,1.714,27.6,34.421,0.0,1766.0,0.0363,1.0,0.0,55.56,13.0,0.0,11863.0,284.0
