new_tests_per_thousand,new_tests_smoothed,total_boosters,cardiovasc_death_rate,hosp_patients_per_million,total_deaths_per_million,aged_65_older,population_density,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,total_boosters_per_hundred,icu_patients_per_million,hosp_patients,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,total_vaccinations,new_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,icu_patients,new_cases
0.0,104.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.003,0.0,0.029,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,1099.0,0.0,0.0,22.8,1.208,0.0,46.0,0.044,0.0,0.0,2.78,0.0,0.0,0.0,0.0,5.0
0.008,136.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.004,0.0,0.037000000000000005,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,1395.0,0.0,0.0,21.2,1.5759999999999998,0.0,60.0,0.0473,0.0,0.0,2.78,0.0,296.0,0.0,0.0,4.0
0.01,180.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.005,0.0,0.046,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,1767.0,0.0,0.0,29.3,1.681,0.0,64.0,0.0341,0.0,0.0,2.78,0.0,372.0,0.0,0.0,14.0
0.024,295.0,0.0,105.599,0.0,0.0,16.984,4.037,0.0,0.0,0.008,0.0,0.071,0.0,0.0,0.0,0.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,2699.0,0.0,0.0,43.0,1.944,0.0,74.0,0.0232,0.0,0.0,2.78,0.0,932.0,0.0,0.0,4.0
0.022,407.0,0.0,105.599,0.105,0.026,16.984,4.037,0.0,0.026,0.011,0.0,0.093,0.004,0.0,0.0,4.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,3531.0,0.0,0.14300000000000002,50.9,2.312,0.0,88.0,0.0197,1.0,0.0,2.78,1.0,832.0,0.0,0.0,10.0
0.0,494.0,0.0,105.599,0.131,0.026,16.984,4.037,0.0,0.0,0.013,0.0,0.0,0.004,0.0,0.0,5.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,0.0,0.0,0.14300000000000002,62.9,2.417,0.0,92.0,0.0159,0.0,0.0,2.78,1.0,0.0,0.0,0.0,14.0
0.0,561.0,0.0,105.599,0.131,0.026,16.984,4.037,0.0,0.0,0.015,0.0,0.127,0.004,0.0,0.0,5.0,16.6,0.0,0.0,1.0773974763406935,0.0,0.0,7.37,0.0,4846.0,0.0,0.14300000000000002,46.2,3.3360000000000003,0.0,127.0,0.0216,0.0,0.0,13.89,1.0,0.0,0.0,0.0,4.0
0.05,806.0,0.0,105.599,0.131,0.026,16.984,4.037,0.0,0.0,0.021,0.0,0.177,0.004,0.0,0.0,5.0,16.6,0.0,0.0,2.53,0.0,0.0,7.37,0.0,6739.0,0.0,0.14300000000000002,59.4,3.704,0.0,141.0,0.0168,0.0,0.0,22.22,1.0,1893.0,0.0,0.0,35.0
0.083,1213.0,0.0,105.599,0.184,0.026,16.984,4.037,0.0,0.0,0.032,0.0,0.26,0.004,0.0,0.026,7.0,16.6,0.0,0.0,2.56,0.0,0.0,7.37,0.0,9889.0,0.0,0.14300000000000002,55.5,5.595,0.0,213.0,0.018000000000000002,0.0,0.0,22.22,1.0,3150.0,0.0,1.0,14.0
0.087,1635.0,0.0,105.599,0.236,0.026,16.984,4.037,0.0,0.0,0.043,0.0,0.34700000000000003,0.004,0.0,0.053,9.0,16.6,0.0,0.0,2.57,0.0,0.0,7.37,0.0,13209.0,0.0,0.14300000000000002,66.5,6.199,0.0,236.0,0.015,0.0,0.0,24.07,1.0,3320.0,0.0,2.0,72.0
