new_tests_per_thousand,new_tests_smoothed,median_age,total_boosters,cardiovasc_death_rate,hosp_patients_per_million,total_deaths_per_million,aged_70_older,female_smokers,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,human_development_index,total_boosters_per_hundred,icu_patients_per_million,hosp_patients,weekly_hosp_admissions_per_million,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,weekly_hosp_admissions,total_vaccinations,new_vaccinations,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_tests,new_vaccinations_smoothed,icu_patients,new_cases
0.005,1165.0,38.3,0.0,151.089,0.0,0.063,9.732,19.1,0.0,0.012,0.003,0.0,0.026,0.009000000000000001,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,8500.0,0.0,2.857,16.7,1.5590000000000002,0.0,519.0,0.0597,4.0,0.0,20.37,21.0,1637.0,0.0,0.0,166.0
0.006999999999999999,1434.0,38.3,0.0,151.089,0.0,0.066,9.732,19.1,0.0,0.003,0.004,0.0,0.033,0.006999999999999999,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,10897.0,0.0,2.286,18.6,1.784,0.0,594.0,0.0537,1.0,0.0,20.37,22.0,2397.0,0.0,0.0,116.0
0.01,1840.0,38.3,0.0,151.089,0.0,0.084,9.732,19.1,0.0,0.018000000000000002,0.006,0.0,0.043,0.009000000000000001,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0,14363.0,0.0,3.0,18.2,2.349,0.0,782.0,0.055,6.0,0.0,20.37,28.0,3466.0,0.0,0.0,75.0
0.014,2403.0,38.3,0.0,151.089,0.0,0.099,9.732,19.1,0.0,0.015,0.006999999999999999,0.0,0.058,0.009000000000000001,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,19188.0,0.0,3.143,16.2,3.445,0.0,1147.0,0.0618,5.0,0.0,21.76,33.0,4825.0,0.0,0.0,188.0
0.027000000000000003,3498.0,38.3,0.0,151.089,0.0,0.129,9.732,19.1,0.0,0.03,0.011,0.0,0.084,0.013,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,28058.0,0.0,4.4289999999999985,17.5,4.7639999999999985,0.0,1586.0,0.0573,10.0,0.0,30.09,43.0,8870.0,0.0,0.0,365.0
0.035,4954.0,38.3,0.0,151.089,0.0,0.153,9.732,19.1,0.0,0.024,0.015,0.0,0.119,0.016,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,39770.0,0.0,5.2860000000000005,17.5,6.665,0.0,2219.0,0.0572,8.0,0.0,30.09,51.0,11712.0,0.0,0.0,439.0
0.039,6560.0,38.3,0.0,151.089,0.0,0.174,9.732,19.1,0.0,0.021,0.02,0.0,0.159,0.018000000000000002,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,52781.0,0.0,5.857,17.8,8.945,0.0,2978.0,0.0561,7.0,0.0,35.65,58.0,13011.0,0.0,0.0,633.0
0.043,8388.0,38.3,0.0,151.089,0.0,0.21,9.732,19.1,0.0,0.036000000000000004,0.025,0.0,0.202,0.021,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0,67213.0,0.0,7.0,21.8,9.648,0.0,3212.0,0.0459,12.0,0.0,41.2,70.0,14432.0,0.0,0.0,759.0
0.08199999999999999,11943.0,38.3,0.0,151.089,0.0,0.29100000000000004,9.732,19.1,0.0,0.081,0.036000000000000004,0.0,0.284,0.032,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,94501.0,0.0,10.714,20.5,14.055,0.0,4679.0,0.0489,27.0,0.0,52.31,97.0,27288.0,0.0,0.0,234.0
0.12,17133.0,38.3,0.0,151.089,0.0,0.403,9.732,19.1,0.0,0.111,0.051,0.0,0.403,0.045,0.926,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,134295.0,0.0,15.143,20.9,19.561,0.0,6512.0,0.0478,37.0,0.0,55.09,134.0,39794.0,0.0,0.0,1467.0
