new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,hosp_patients_per_million,people_fully_vaccinated,new_cases,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,hosp_patients,total_boosters,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,total_boosters_per_hundred,new_cases_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
3320.0,0.0,0.0,0.236,0.0,23.0,0.026,0.0,2.57,9.0,0.0,0.0,6.199,0.645,1635.0,0.0,0.0,0.0,13209.0,0.0,0.34700000000000003,0.043,24.07,0.087,66.5,1.0,24.571,1.0,0.0,0.015,0.0,236.0,0.0,0.604,0.0,0.0,0.14300000000000002,0.004
4148.0,0.0,0.0,0.236,0.0,60.0,0.026,0.0,2.61,9.0,0.0,0.0,7.776,0.833,2094.0,0.0,0.0,0.0,17357.0,0.0,0.456,0.055,24.07,0.109,66.0,0.0,31.714,1.0,0.0,0.0151,0.0,296.0,0.0,1.5759999999999998,0.0,0.0,0.14300000000000002,0.004
4519.0,0.0,0.079,0.447,0.0,154.0,0.105,0.0,2.65,17.0,0.0,0.0,11.821,1.358,2621.0,0.0,0.0,0.0,21876.0,3.0,0.575,0.069,43.52,0.119,50.7,0.0,51.714,4.0,0.0,0.0197,0.0,450.0,0.0,4.045,0.0,0.0,0.429,0.011
5031.0,0.0,0.053,0.578,0.0,82.0,0.158,0.0,2.64,22.0,0.0,0.0,13.975,1.651,3246.0,0.0,0.0,0.0,26907.0,2.0,0.7070000000000001,0.085,43.52,0.132,51.6,4.0,62.857,6.0,0.0,0.0194,0.0,532.0,0.0,2.154,0.0,0.0,0.7140000000000001,0.019
7286.0,0.0,0.131,0.8140000000000001,0.0,200.0,0.289,0.0,2.65,31.0,0.0,0.0,19.229,2.27,4192.0,0.0,0.0,0.0,34193.0,5.0,0.898,0.11,61.11,0.191,48.5,8.0,86.429,11.0,0.0,0.0206,0.0,732.0,0.0,5.254,0.0,0.0,1.429,0.038
8608.0,0.0,0.0,1.103,0.0,189.0,0.289,0.0,2.62,42.0,0.0,0.0,24.194000000000006,2.927,5152.0,0.0,0.0,0.0,42801.0,0.0,1.124,0.135,61.11,0.226,46.2,2.0,111.429,11.0,0.0,0.0216,0.0,921.0,0.0,4.965,0.0,0.0,1.429,0.038
7267.0,0.0,0.105,1.366,0.0,254.0,0.394,0.0,2.6,52.0,0.0,0.0,30.866,3.61,5740.0,0.0,0.0,0.0,50068.0,4.0,1.315,0.151,71.3,0.191,41.8,8.0,137.429,15.0,0.0,0.0239,0.0,1175.0,0.0,6.6720000000000015,0.0,0.0,2.0,0.053
8127.0,0.0,0.105,1.786,0.0,478.0,0.499,0.0,2.57,68.0,0.0,0.0,43.422,5.318,6427.0,0.0,0.0,0.0,58195.0,4.0,1.529,0.16899999999999998,71.3,0.213,31.7,7.0,202.429,19.0,0.0,0.0315,0.0,1653.0,0.0,12.557,0.0,0.0,2.571,0.068
10535.0,0.0,0.079,1.996,0.0,392.0,0.578,0.0,2.49,76.0,0.0,0.0,53.72,6.563,7339.0,0.0,0.0,0.0,68730.0,3.0,1.805,0.193,71.3,0.277,29.4,4.0,249.857,22.0,0.0,0.034,0.0,2045.0,0.0,10.297,0.0,0.0,3.0,0.079
11147.0,0.0,0.184,2.7060000000000004,0.0,555.0,0.762,0.0,2.41,103.0,0.0,0.0,68.29899999999999,8.068,8286.0,0.0,0.0,0.0,79877.0,7.0,2.0980000000000003,0.218,72.69,0.293,27.0,9.0,307.143,29.0,0.0,0.0371,0.0,2600.0,0.0,14.579,0.0,0.0,3.571,0.094
10591.0,0.0,0.105,4.019,0.0,585.0,0.867,0.0,2.34,153.0,0.0,0.0,83.666,9.956,9080.0,0.0,0.0,0.0,90468.0,4.0,2.376,0.239,72.69,0.278,24.0,20.0,379.0,33.0,0.0,0.0417,0.0,3185.0,0.0,15.367,0.0,0.0,3.857,0.101
11070.0,0.0,0.236,4.623,0.0,498.0,1.103,0.0,2.25,176.0,0.0,0.0,96.748,11.074000000000002,9621.0,0.0,0.0,0.0,101538.0,9.0,2.667,0.253,72.69,0.29100000000000004,22.8,8.0,421.571,42.0,0.0,0.0438,0.0,3683.0,0.0,13.082,0.0,0.0,4.4289999999999985,0.116
10911.0,0.0,0.394,5.674,0.0,867.0,1.497,0.0,2.19,216.0,0.0,0.0,119.523,13.619000000000002,9950.0,0.0,0.0,0.0,112449.0,15.0,2.954,0.261,72.69,0.287,19.2,10.0,518.429,57.0,0.0,0.0521,0.0,4550.0,0.0,22.775,0.0,0.0,6.5710000000000015,0.173
12217.0,0.0,0.236,6.83,0.0,699.0,1.734,0.0,2.11,260.0,0.0,0.0,137.885,15.288,10657.0,0.0,0.0,0.0,124666.0,9.0,3.275,0.28,72.69,0.321,18.3,7.0,582.0,66.0,0.0,0.0546,0.0,5249.0,0.0,18.362,0.0,0.0,7.286,0.191
12487.0,0.0,0.42,7.723,0.0,836.0,2.154,0.0,2.04,294.0,0.0,0.0,159.846,16.632,11280.0,0.0,0.0,0.0,137153.0,16.0,3.603,0.29600000000000004,72.69,0.328,17.8,36.0,633.143,82.0,0.0,0.0561,0.0,6085.0,0.0,21.961,0.0,0.0,9.0,0.236
15442.0,0.0,0.368,8.642000000000001,0.0,930.0,2.522,0.0,1.98,329.0,0.0,0.0,184.276,18.651,11981.0,0.0,0.0,0.0,152595.0,14.0,4.008,0.315,72.69,0.406,16.9,17.0,710.0,96.0,0.0,0.0593,0.0,7015.0,0.0,24.43,0.0,0.0,10.571,0.278
12123.0,0.0,0.762,10.665,0.0,1106.0,3.284,0.0,1.91,406.0,0.0,0.0,213.329,20.719,12120.0,0.0,0.0,0.0,164718.0,29.0,4.327,0.318,72.69,0.318,15.4,15.0,788.7139999999998,125.0,0.0,0.0651,0.0,8121.0,0.0,29.053,0.0,0.0,13.714,0.36
13600.0,0.0,0.7090000000000001,12.662,0.0,1125.0,3.993,0.0,1.85,482.0,0.0,0.0,242.882,22.745,12550.0,0.0,0.0,0.0,178318.0,27.0,4.684,0.33,72.69,0.35700000000000004,14.5,8.0,865.857,152.0,0.0,0.069,0.0,9246.0,0.0,29.552,0.0,0.0,17.0,0.447
14021.0,0.0,0.604,13.817,0.0,1281.0,4.597,0.0,1.79,526.0,0.0,0.0,276.532,25.683000000000003,12972.0,0.0,0.0,0.0,192339.0,23.0,5.053,0.341,74.54,0.368,13.3,9.0,977.714,175.0,0.0,0.0754,0.0,10527.0,0.0,33.65,0.0,0.0,19.0,0.499
16421.0,0.0,1.287,26.085,0.0,1692.0,5.884,0.0,1.73,993.0,0.0,0.0,320.9790000000001,28.779,13759.0,0.0,0.0,0.0,208760.0,49.0,5.484,0.361,74.54,0.431,12.6,188.0,1095.571,224.0,0.0,0.0796,0.0,12219.0,0.0,44.447,0.0,0.0,23.857,0.627
14858.0,0.0,1.392,29.658,0.0,1340.0,7.276,0.0,1.66,1129.0,0.0,0.0,356.1790000000001,31.185,14136.0,0.0,0.0,0.0,223618.0,53.0,5.874,0.371,74.54,0.39,11.9,35.0,1187.143,277.0,0.0,0.084,0.0,13559.0,0.0,35.2,0.0,0.0,30.143,0.792
15061.0,0.0,2.18,31.943,0.0,1347.0,9.457,0.0,1.59,1216.0,0.0,0.0,391.5630000000001,33.102,14504.0,0.0,0.0,0.0,238679.0,83.0,6.27,0.381,72.69,0.396,11.5,27.0,1260.143,360.0,0.0,0.0869,0.0,14906.0,0.0,35.384,0.0,0.0,39.714,1.043
12492.0,0.0,1.97,33.414,0.0,1569.0,11.427,0.0,1.53,1272.0,0.0,0.0,432.779,35.5,14082.0,0.0,0.0,0.0,251171.0,75.0,6.598,0.37,72.69,0.328,10.4,31.0,1351.429,435.0,0.0,0.096,0.0,16475.0,0.0,41.216,0.0,0.0,48.429,1.272
10808.0,0.0,2.233,35.48900000000001,0.0,1046.0,13.66,0.0,1.47,1351.0,0.0,0.0,460.256,35.275,13894.0,0.0,0.0,0.0,261979.0,85.0,6.8820000000000014,0.365,72.69,0.284,10.3,31.0,1342.8570000000002,520.0,0.0,0.0967,0.0,17521.0,0.0,27.477,0.0,0.0,56.429,1.482
7846.0,0.0,1.602,37.564,0.0,1337.0,15.262,0.0,1.42,1430.0,0.0,0.0,495.378,36.071,13072.0,0.0,0.0,0.0,269825.0,61.0,7.087999999999999,0.343,72.69,0.206,9.5,19.0,1373.1429999999998,581.0,0.0,0.105,0.0,18858.0,0.0,35.121,0.0,0.0,61.286,1.61
