new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,new_cases_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
130.0,0.0,0.008,18.0,0.0,0.04,0.0,1.01,0.0,1.872,0.141,105.0,0.0,0.0,0.0,1382.0,1.0,0.011,0.001,34.26,0.001,5.9,0.0,17.714000000000006,5.0,0.0,0.1687,0.0,236.0,0.14300000000000002,0.0,0.0,0.429,0.003
178.0,0.0,0.008,9.0,0.0,0.048,0.0,1.01,0.0,1.944,0.122,116.0,0.0,0.0,0.0,1560.0,1.0,0.012,0.001,34.26,0.001,7.5,0.0,15.429,6.0,0.0,0.133,0.0,245.0,0.071,0.0,0.0,0.5710000000000001,0.005
96.0,0.0,0.0,14.0,0.0,0.048,0.0,1.18,0.0,2.055,0.125,124.0,0.0,0.0,0.0,1656.0,0.0,0.013,0.001,34.26,0.001,7.9,0.0,15.714,6.0,0.0,0.1267,0.0,259.0,0.111,0.0,0.0,0.5710000000000001,0.005
71.0,0.0,0.0,19.0,0.0,0.048,0.0,1.34,0.0,2.205,0.134,120.0,0.0,0.0,0.0,1727.0,0.0,0.014,0.001,43.52,0.001,7.1,0.0,16.857,6.0,0.0,0.1405,0.0,278.0,0.151,0.0,0.0,0.5710000000000001,0.005
153.0,0.0,0.0,20.0,0.0,0.048,0.0,1.43,0.0,2.364,0.142,135.0,0.0,0.0,0.0,1880.0,0.0,0.015,0.001,43.52,0.001,7.6,0.0,17.857,6.0,0.0,0.1323,0.0,298.0,0.159,0.0,0.0,0.429,0.003
3940.0,0.0,0.008,35.0,0.0,0.056,0.0,1.57,0.0,2.642,0.16,674.0,0.0,0.0,0.0,5820.0,1.0,0.046,0.005,43.52,0.031,33.5,0.0,20.143,7.0,0.0,0.0299,0.0,333.0,0.278,0.0,0.0,0.5710000000000001,0.005
699.0,0.0,0.0,32.0,0.0,0.056,0.0,1.64,0.0,2.8960000000000004,0.16699999999999998,752.0,0.0,0.0,0.0,6519.0,0.0,0.052000000000000005,0.006,43.52,0.006,35.8,0.0,21.0,7.0,0.0,0.0279,0.0,365.0,0.254,0.0,0.0,0.429,0.003
553.0,0.0,0.0,55.0,0.0,0.056,0.0,1.75,0.0,3.332,0.209,813.0,0.0,0.0,0.0,7072.0,0.0,0.056,0.006,43.52,0.004,30.9,0.0,26.286,7.0,0.0,0.0323,0.0,420.0,0.436,0.0,0.0,0.28600000000000003,0.002
147.0,0.0,0.0,46.0,0.0,0.056,0.0,1.68,0.0,3.697,0.25,808.0,0.0,0.0,0.0,7219.0,0.0,0.057,0.006,43.52,0.001,25.6,0.0,31.571,7.0,0.0,0.0391,0.0,466.0,0.365,0.0,0.0,0.14300000000000002,0.001
110.0,0.0,0.008,33.0,0.0,0.063,0.0,1.59,0.0,3.959,0.272,810.0,0.0,0.0,0.0,7329.0,1.0,0.058,0.006,43.52,0.001,23.6,0.0,34.286,8.0,0.0,0.0423,0.0,499.0,0.262,0.0,0.0,0.28600000000000003,0.002
1314.0,0.0,0.016,28.0,0.0,0.079,0.0,1.55,0.0,4.181,0.282,988.0,0.0,0.0,0.0,8643.0,2.0,0.069,0.008,40.74,0.01,27.8,0.0,35.571,10.0,0.0,0.036000000000000004,0.0,527.0,0.222,0.0,0.0,0.5710000000000001,0.005
424.0,0.0,0.024,58.0,0.0,0.103,0.0,1.54,0.0,4.641,0.325,1027.0,0.0,0.0,0.0,9067.0,3.0,0.07200000000000001,0.008,40.74,0.003,25.0,0.0,41.0,13.0,0.0,0.0399,0.0,585.0,0.46,0.0,0.0,1.0,0.008
181.0,0.0,0.016,55.0,0.0,0.119,0.0,1.43,0.0,5.077,0.348,490.0,0.0,0.0,0.0,9248.0,2.0,0.073,0.004,40.74,0.001,11.2,0.0,43.857,15.0,0.0,0.0895,0.0,640.0,0.436,0.0,0.0,1.143,0.009000000000000001
1855.0,0.0,0.032,56.0,0.0,0.151,0.0,1.32,0.0,5.522,0.375,655.0,0.0,0.0,0.0,11103.0,4.0,0.08800000000000001,0.005,40.74,0.015,13.9,0.0,47.286,19.0,0.0,0.0722,0.0,696.0,0.444,0.0,0.0,1.714,0.014
859.0,0.0,0.016,37.0,0.0,0.16699999999999998,0.0,1.18,0.0,5.815,0.355,699.0,0.0,0.0,0.0,11962.0,2.0,0.095,0.006,40.74,0.006999999999999999,15.6,0.0,44.714,21.0,0.0,0.064,0.0,733.0,0.294,0.0,0.0,2.0,0.016
107.0,0.0,0.008,62.0,0.0,0.175,0.0,1.19,0.0,6.307,0.373,693.0,0.0,0.0,0.0,12069.0,1.0,0.096,0.005,40.74,0.001,14.7,0.0,47.0,22.0,0.0,0.0678,0.0,795.0,0.4920000000000001,0.0,0.0,2.143,0.017
42.0,0.0,0.016,31.0,0.0,0.19,0.0,1.11,0.0,6.553,0.371,683.0,0.0,0.0,0.0,12111.0,2.0,0.096,0.005,40.74,0.0,14.6,0.0,46.714,24.0,0.0,0.0684,0.0,826.0,0.246,0.0,0.0,2.286,0.018000000000000002
2083.0,0.0,0.048,17.0,0.0,0.238,0.0,1.07,0.0,6.688,0.358,793.0,0.0,0.0,0.0,14194.0,6.0,0.113,0.006,40.74,0.017,17.6,0.0,45.143,30.0,0.0,0.0569,0.0,843.0,0.135,0.0,0.0,2.857,0.023
203.0,0.0,0.0,50.0,0.0,0.238,0.0,1.04,0.0,7.084,0.349,761.0,0.0,0.0,0.0,14397.0,0.0,0.114,0.006,40.74,0.002,17.3,0.0,44.0,30.0,0.0,0.0578,0.0,893.0,0.397,0.0,0.0,2.4290000000000003,0.019
