new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,weekly_hosp_admissions,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,new_cases_per_million,weekly_hosp_admissions_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
506.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,1.033,0.131,338.0,0.0,0.0,0.0,2911.0,0.0,0.048,0.006,38.89,0.008,43.0,0.0,7.857,0.0,0.0,0.0232,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0672089314194575,0.0,0.0,1.932,0.245,346.0,0.0,0.0,0.0,3070.0,0.0,0.051,0.006,55.56,0.003,23.5,0.0,14.714,0.0,0.0,0.0425,0.0,116.0,0.899,0.0,0.0,0.0,0.0,0.0
1762.0,0.0,0.0,34.0,0.0,0.0,0.0,2.28,0.0,0.0,2.498,0.316,569.0,0.0,0.0,0.0,4832.0,0.0,0.08,0.009000000000000001,55.56,0.029,29.9,0.0,19.0,0.0,0.0,0.0334,0.0,150.0,0.5660000000000001,0.0,0.0,0.0,0.0,0.0
1606.0,0.0,0.0,52.0,0.0,0.0,0.0,2.32,0.0,0.0,3.364,0.424,788.0,0.0,0.0,0.0,6438.0,0.0,0.107,0.013,55.56,0.027000000000000003,31.0,0.0,25.429,0.0,0.0,0.0323,0.0,202.0,0.866,0.0,0.0,0.0,0.0,0.0
987.0,0.0,0.0,38.0,0.0,0.0,0.0,2.35,0.0,0.0,3.997,0.481,915.0,0.0,0.0,0.0,7425.0,0.0,0.124,0.015,55.56,0.016,31.7,0.0,28.857,0.0,0.0,0.0315,0.0,240.0,0.633,0.0,0.0,0.0,0.0,0.0
1890.0,0.0,0.0,34.0,0.0,0.0,0.0,2.42,0.0,0.0,4.563,0.531,1120.0,0.0,0.0,0.0,9315.0,0.0,0.155,0.019,55.56,0.031,35.2,0.0,31.857,0.0,0.0,0.0284,0.0,274.0,0.5660000000000001,0.0,0.0,0.0,0.0,0.0
3500.0,0.0,0.0,128.0,0.0,0.0,0.0,2.56,0.0,0.0,6.695,0.809,1487.0,0.0,0.0,0.0,12815.0,0.0,0.213,0.025,55.56,0.058,30.6,0.0,48.57100000000001,0.0,0.0,0.0327,0.0,402.0,2.132,0.0,0.0,0.0,0.0,0.0
2714.0,0.0,0.0,152.0,0.0,0.0,0.0,2.51,0.0,0.0,9.227,1.171,1803.0,0.0,0.0,0.0,15529.0,0.0,0.259,0.03,55.56,0.045,25.7,0.0,70.286,0.0,0.0,0.039,0.0,554.0,2.532,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,155.0,0.0,0.0,0.0,2.36,0.0,0.0,11.808,1.411,2133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,55.56,0.0,25.2,0.0,84.714,0.0,0.0,0.0397,0.0,709.0,2.582,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,218.0,0.0,0.0,0.0,2.15,0.0,0.0,15.439,1.849,2234.0,0.0,0.0,0.0,20471.0,0.0,0.341,0.037000000000000005,87.96,0.0,20.1,0.0,111.0,0.0,0.0,0.0497,0.0,927.0,3.631,0.0,0.0,0.0,0.0,0.0
8066.0,0.0,0.017,243.0,0.0,0.017,0.0,1.87,0.0,0.0,19.486,2.303,3157.0,0.0,0.0,0.0,28537.0,1.0,0.475,0.053,87.96,0.134,22.8,0.0,138.286,1.0,0.0,0.0438,0.0,1170.0,4.047,0.0,0.0,0.0,0.14300000000000002,0.002
3426.0,0.0,0.0,17.0,0.0,0.017,0.0,1.55,0.0,0.0,19.769,2.253,3505.0,0.0,0.0,0.0,31963.0,0.0,0.532,0.058,87.96,0.057,25.9,0.0,135.286,1.0,0.0,0.0386,0.0,1187.0,0.28300000000000003,0.0,0.0,0.0,0.14300000000000002,0.002
3630.0,0.0,0.017,93.0,0.0,0.033,0.0,1.32,0.0,0.0,21.318,2.394,3754.0,0.0,0.0,0.0,35593.0,1.0,0.593,0.063,87.96,0.06,26.1,0.0,143.714,2.0,0.0,0.0383,0.0,1280.0,1.5490000000000002,0.0,0.0,0.0,0.28600000000000003,0.005
2816.0,0.0,0.017,46.0,0.0,0.05,0.0,1.11,0.0,0.0,22.085,2.198,3656.0,0.0,0.0,0.0,38409.0,1.0,0.64,0.061,87.96,0.047,27.7,0.0,132.0,3.0,0.0,0.0361,0.0,1326.0,0.7659999999999999,0.0,0.0,0.0,0.429,0.006999999999999999
2663.0,0.0,0.033,27.0,0.0,0.083,0.0,0.98,0.0,0.0,22.534,1.901,3649.0,0.0,0.0,0.0,41072.0,2.0,0.684,0.061,87.96,0.044,32.0,0.0,114.143,5.0,0.0,0.0313,0.0,1353.0,0.45,0.0,0.0,0.0,0.7140000000000001,0.012
3220.0,0.0,0.0,27.0,0.0,0.083,0.0,0.93,0.0,0.0,22.984,1.597,3756.0,0.0,0.0,0.0,44292.0,0.0,0.738,0.063,87.96,0.054000000000000006,39.2,0.0,95.857,5.0,0.0,0.0255,0.0,1380.0,0.45,0.0,0.0,0.0,0.7140000000000001,0.012
3673.0,0.0,0.0,82.0,0.0,0.083,0.0,0.92,0.0,0.0,24.35,1.273,3928.0,0.0,0.0,0.0,47965.0,0.0,0.799,0.065,87.96,0.061,51.4,0.0,76.429,5.0,0.0,0.0195,0.0,1462.0,1.366,0.0,0.0,0.0,0.7140000000000001,0.012
2396.0,0.0,0.067,43.0,0.0,0.15,0.0,0.92,0.0,0.0,25.066,0.797,3118.0,0.0,0.0,0.0,50361.0,4.0,0.8390000000000001,0.052000000000000005,87.96,0.04,65.2,0.0,47.857,9.0,0.0,0.0153,0.0,1505.0,0.716,0.0,0.0,0.0,1.143,0.019
3576.0,0.0,0.0,80.0,0.0,0.15,0.0,0.98,0.0,0.0,26.398000000000003,0.947,3139.0,0.0,0.0,0.0,53937.0,0.0,0.898,0.052000000000000005,87.96,0.06,55.2,0.0,56.857,9.0,0.0,0.0181,0.0,1585.0,1.332,0.0,0.0,0.0,1.143,0.019
2936.0,0.0,0.033,70.0,0.0,0.183,0.0,0.98,0.0,0.0,27.564,0.892,3040.0,0.0,0.0,0.0,56873.0,2.0,0.947,0.051,87.96,0.049,56.7,0.0,53.57100000000001,11.0,0.0,0.0176,0.0,1655.0,1.166,0.0,0.0,0.0,1.286,0.021
1225.0,0.0,0.017,31.0,0.0,0.2,0.0,0.98,0.0,0.0,28.08,0.857,2813.0,0.0,0.0,0.0,58098.0,1.0,0.968,0.047,87.96,0.02,54.7,0.0,51.429,12.0,0.0,0.0183,0.0,1686.0,0.516,0.0,0.0,0.0,1.286,0.021
0.0,0.0,0.017,63.0,0.0,0.217,0.0,1.03,0.0,0.0,29.13,0.942,2838.0,0.0,0.0,0.0,0.0,1.0,0.0,0.047,87.96,0.0,50.2,0.0,56.57100000000001,13.0,0.0,0.0199,0.0,1749.0,1.0490000000000002,0.0,0.0,0.0,1.143,0.019
0.0,0.0,0.083,96.0,0.0,0.3,0.0,1.1,0.0,0.0,30.728,1.106,2783.0,0.0,0.0,0.0,63776.0,5.0,1.062,0.046,87.96,0.0,41.9,0.0,66.429,18.0,0.0,0.0239,0.0,1845.0,1.599,0.0,0.0,0.0,1.857,0.031
