new_tests,new_people_vaccinated_smoothed,new_deaths_per_million,hosp_patients_per_million,new_cases,people_fully_vaccinated,total_deaths_per_million,people_fully_vaccinated_per_hundred,reproduction_rate,hosp_patients,weekly_hosp_admissions,total_boosters,new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,new_cases_smoothed_per_million,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,people_vaccinated,total_tests,new_deaths,total_tests_per_thousand,new_tests_smoothed_per_thousand,stringency_index,new_tests_per_thousand,tests_per_case,icu_patients,new_cases_smoothed,total_deaths,new_vaccinations_smoothed_per_million,positive_rate,total_vaccinations_per_hundred,total_cases,total_boosters_per_hundred,new_cases_per_million,weekly_hosp_admissions_per_million,total_vaccinations,new_vaccinations,new_deaths_smoothed,new_deaths_smoothed_per_million
50385.0,0.0,0.18,0.0,2657.0,0.0,0.583,0.0,3.63,0.0,0.0,0.0,0.0,27.542,3.442,23642.0,0.0,0.0,0.0,184680.0,60.0,0.555,0.071,55.09,0.151,20.6,0.0,1146.0,194.0,0.0,0.0485,0.0,9169.0,0.0,7.981,0.0,0.0,0.0,23.0,0.069
60557.0,0.0,0.21600000000000005,0.0,4494.0,0.0,0.799,0.0,3.6,0.0,0.0,0.0,0.0,41.04,5.182,31026.0,0.0,0.0,0.0,245237.0,72.0,0.737,0.093,67.13,0.182,18.0,0.0,1725.286,266.0,0.0,0.0556,0.0,13663.0,0.0,13.499,0.0,0.0,0.0,31.857,0.096
76244.0,0.0,0.318,0.0,6367.0,0.0,1.117,0.0,3.5,0.0,0.0,0.0,0.0,60.165,7.643,40244.0,0.0,0.0,0.0,321481.0,106.0,0.966,0.121,67.13,0.229,15.8,0.0,2544.429,372.0,0.0,0.0632,0.0,20030.0,0.0,19.125,0.0,0.0,0.0,45.857,0.138
75779.0,0.0,0.309,0.0,5995.0,0.0,1.4269999999999998,0.0,3.32,0.0,0.0,0.0,0.0,78.173,9.89,49211.0,0.0,0.0,0.0,397260.0,103.0,1.193,0.14800000000000002,72.69,0.228,14.9,0.0,3292.429,475.0,0.0,0.0669,0.0,26025.0,0.0,18.008,0.0,0.0,0.0,59.57100000000001,0.179
73928.0,0.0,0.384,0.0,8919.0,0.0,1.811,0.0,3.2,0.0,0.0,0.0,0.0,104.964,13.617,57711.0,0.0,0.0,0.0,471188.0,128.0,1.415,0.173,72.69,0.222,12.7,0.0,4533.143,603.0,0.0,0.0785,0.0,34944.0,0.0,26.791,0.0,0.0,0.0,76.143,0.229
79701.0,0.0,0.562,0.0,11152.0,0.0,2.373,0.0,2.98,0.0,0.0,0.0,0.0,138.46200000000002,17.772000000000006,65198.0,0.0,0.0,0.0,550889.0,187.0,1.655,0.196,72.69,0.239,11.0,0.0,5916.714,790.0,0.0,0.0907,0.0,46096.0,0.0,33.498000000000005,0.0,0.0,0.0,99.0,0.297
104533.0,0.0,0.73,0.0,10618.0,0.0,3.103,0.0,2.75,0.0,0.0,0.0,0.0,170.356,21.542,74447.0,0.0,0.0,0.0,655422.0,243.0,1.969,0.224,72.69,0.314,10.4,0.0,7171.714,1033.0,0.0,0.0963,0.0,56714.0,0.0,31.894,0.0,0.0,0.0,128.429,0.386
114692.0,0.0,1.0,0.0,12127.0,0.0,4.103,0.0,2.56,0.0,0.0,0.0,0.0,206.782,25.606,83633.0,0.0,0.0,0.0,770114.0,333.0,2.313,0.251,72.69,0.345,9.8,0.0,8524.571,1366.0,0.0,0.1019,0.0,68841.0,0.0,36.427,0.0,0.0,0.0,167.429,0.503
129233.0,0.0,1.253,0.0,17821.0,0.0,5.356,0.0,2.42,0.0,0.0,0.0,0.0,260.313,31.325,93444.0,0.0,0.0,0.0,899347.0,417.0,2.701,0.281,72.69,0.388,9.0,0.0,10428.429,1783.0,0.0,0.1116,0.0,86662.0,0.0,53.53,0.0,0.0,0.0,216.71400000000003,0.6509999999999999
135799.0,0.0,1.568,0.0,18591.0,0.0,6.924,0.0,2.3,0.0,0.0,0.0,0.0,316.156,36.57,101952.0,0.0,0.0,0.0,1035146.0,522.0,3.109,0.306,72.69,0.408,8.4,0.0,12174.714,2305.0,0.0,0.1194,0.0,105253.0,0.0,55.843,0.0,0.0,0.0,276.143,0.8290000000000001
